ticker,nome_da_empresa,data_da_analise,patrimonio_liquido,quant_on_pn,ebit12_meses,preco_de_fechamento,ativo_total,fator_cotacao,retorno12_meses,retorno6_meses,retorno3_meses,retorno1_mes,lc,volatilidade_anualizada12_meses,volatilidade_anualizada6_meses,volatilidade_anualizada3_meses,volatilidade_anualizada1_mes,ev,valor_de_mercado
BRAP4,BRADESPAR,30/12/2002,7434838000,393097000,-52026000,"0,58",8017832000,1000,"-26,582278481","13,7254901961","28,8888888889","13,7254901961","1,34550393364","49,1362570642","50,4748774922","52,2296712241","61,4061743459","1887070900,85","835890900,85"
BRDT4,VIBRA,30/12/2002,12695000000,1165000000,3420000000,"39,96",40229000000,1000,[],[],[],[],"2,57107053348",[],[],[],[],[],[]
BRTO4,OI,30/12/2002,-23111733000,660304000,-17996451000,"11,74",28462557000,1000,"-11,0606060605","8,70370370407","1,20689655179","-1,75732217559","0,852178728307","44,1171004335","48,3348440977","43,0579702544","34,6432342945","8527167785,6","6222255785,6"
BRTP3,BRASIL T PAR,30/12/2002,5302336000,363969213,-207239000,"13,8",18990382000,1000,"-22,6457399103","-3,49650349636","1,09890109905","-2,81690140852","1,28702552412","51,2481495686","52,497175015","45,1520716453","34,4785978837",[],[]
BRTP4,BRASIL T PAR,30/12/2002,5302336000,363969213,-207239000,"18,2",18990382000,1000,[],"18,1818181814","1,11111111089","-2,98507462683","1,28702552412",[],"52,322942873","48,7117189939","37,2132169877",[],[]
CESP4,CESP,30/12/2002,10311837000,348711000,972755000,"7,14",16610049000,1000,[],[],[],[],"1,38655113574",[],[],[],[],"12413823789,9","604353789,9"
CMIG3,CEMIG,30/12/2002,22797430000,2201371000,5102422000,"23,5",54085360000,1000,"-19,7113735018","-15,350418678","20,667978175","9,69816197715","1,1920055011","50,6097776254","56,1899792281","56,5474449562","41,9874215176","6484867716,95","4079889716,95"
CMIG4,CEMIG,30/12/2002,22797430000,2201371000,5102422000,"26,45",54085360000,1000,"-14,4159797814","-13,9663992436","23,1844738104","12,9191009925","1,1920055011","50,3903063138","56,4982239093","56,5909804264","49,9393340328","6484867716,95","4079889716,95"
CRUZ3,SOUZA CRUZ,30/12/2002,1877345000,1528451000,2349369000,"17,82",5869178000,1,"45,4816491775","35,0118806203","11,3311245334","-1,83838417386","1,18627334931","35,7594071236","38,5182827818","40,3351092334","37,2452617336",5062170800,5447395800
CSNA3,SID NACIONAL,30/12/2002,21692851000,1326093947,4426482000,"51,15",86595892000,1000,"46,1605256989","11,4621921989","63,1578947366","6,5625","1,59816115365","55,8150525217","65,652859154","54,7740014716","26,5993851267","9180333700,15","3668951700,15"
CSTB4,SID TUBARAO,30/12/2002,6759951000,50976440000,1908871000,40,10130808000,1000,[],[],[],[],"1,55321784322",[],[],[],[],[],[]
EBTP3,EMBRATEL PAR,30/12/2002,13748620000,"1,231364636E+12",1485263000,"4,18",35586115000,1000,"-61,6513761469","34,8387096777","30,6249999996","12,0643431638","0,994601833146","91,8449547487","104,037253747","93,480732306","68,1347234232","4381331738,36","1305374738,36"
EBTP4,EMBRATEL PAR,30/12/2002,13748620000,"1,231364636E+12",1485263000,"3,74",35586115000,1000,"-62,2222222222","108,938547485","55,8333333326","20,6451612903","0,994601833146","91,8362627162","97,694050262","87,6782023514","81,7540989634","4381331738,36","1305374738,36"
ELET3,ELETROBRAS,30/12/2002,111017341000,2307099000,6274467000,"23,6",267830877000,1000,"-23,5778781213","-20,1623815968","49,8412698414","15,9135559922","2,05239960584","51,4340337278","58,8258437782","55,7281774813","42,4221150335","35921248950,9","12671460950,9"
ELPL4,ELETROPAULO,30/12/2002,2814381000,197467000,3696657000,26,30088218000,1000,"-66,6666666667","-39,5489421065","6,12244898001","6,5573770489","0,942000543934","72,0196259965","81,7831405259","65,8209465357","60,2363199438",[],[]
EMBR3,EMBRAER,30/12/2002,14082568000,740465000,-654119000,"12,8",53129321000,1,[],[],[],[],"1,74938665131",[],[],[],[],[],[]
EMBR4,EMBRAER EMP BRAS AERON SA,30/12/2002,4822833000,721832057,573538000,14,15979976000,1,[],[],[],[],"1,83235618243",[],[],[],[],[],[]
GGBR4,GERDAU,30/12/2002,48802167000,1757067050,15833150000,"34,5",75746608000,1000,"61,2149532711","15,771812081","23,6559139787","5,79576816952","2,48785397544","40,0676993791","39,8547527061","38,6050378385","23,5643373897","5968626249,5","3937087249,5"
INEP4,INEPAR,30/12/2002,-1690169000,183431000,-80450000,"0,54",1318070000,1000,"-67,4698795181","14,8936170211","-15,625","-14,2857142858","0,0846333209605","92,3788294155","105,131021111","60,3388347654","41,2378051195","414842369,48","30957369,48"
ITAU4,ITAUUNIBANCO,30/12/2002,181519000000,9804135000,35983000000,"171,5","2,388492E+12",1000,[],[],[],[],[],[],[],[],[],"16057856968,5","18495897968,5"
ITSA4,ITAUSA,30/12/2002,77419000000,9701410000,3061000000,"1,88",97875000000,1,"-5,21436954544","3,31515510321","25,6602815764","6,32793056428","1,46062426538","39,6849669794","46,7866824606","43,9474695788","33,4543064031",6524711820,7561381820
