TICKER,Nome da Empresa,Data da Análise,Preço de Fechamento,data,ano,PL,QNT,EBIT,AT,VM
BEEF3,MINERVA,29/12/2021,10.62,2021-12-29,2021,10.62495,6.07283407,24.23235,214.00128,64.49349782339999
BIDI11,BANCO INTER,29/12/2021,27.58,2021-12-29,2021,,25.93598009,0.07674,,715.3143308822
BIDI4,BANCO INTER,29/12/2021,9.23,2021-12-29,2021,,25.93598009,0.07674,,239.38909623070003
BPAC11,BTGP BANCO,29/12/2021,20.7,2021-12-29,2021,423.71767,115.06119928,62.46618,3695.8819,2381.766825096
BPAN4,BANCO PAN,29/12/2021,10.58,2021-12-29,2021,71.24093,12.73179684,8.04261,556.26605,134.7024105672
BRAP4,BRADESPAR,29/12/2021,24.49,2021-12-29,2021,74.77001,3.93097,-0.51947,80.62022,96.26945529999999
BRFS3,BRF SA,29/12/2021,22.36,2021-12-29,2021,118.22869,10.824732460000002,-1.37365,578.54447,242.04101780560003
BRML3,BR MALLS PAR,29/12/2021,8.16,2021-12-29,2021,112.65549,8.28274,8.75741,181.42137,67.5871584
CASH3,MELIUZ,29/12/2021,3.01,2021-12-29,2021,7.99198,8.64931939,-1.41501,13.57951,26.0344513639
CCRO3,CCR SA,29/12/2021,11.59,2021-12-29,2021,118.2275,20.2,98.58064,505.473,234.118
CIEL3,CIELO,29/12/2021,2.23,2021-12-29,2021,138.16772,27.168150609999998,26.84986,1097.84818,60.58497586029999
CMIG4,CEMIG,29/12/2021,13.04,2021-12-29,2021,217.83266,22.01371,48.44634,536.70837,287.0587784
COGN3,COGNA ON,29/12/2021,2.39,2021-12-29,2021,132.41388,18.766062100000003,3.05191,263.96751,44.85088841900001
CPFE3,CPFL ENERGIA,29/12/2021,26.43,2021-12-29,2021,175.39944,11.522544400000001,97.40386,711.46081,304.540848492
CRFB3,CARREFOUR BR,29/12/2021,14.92,2021-12-29,2021,217.72,21.036652699999998,49.35,922.95,313.866858284
CSAN3,COSAN,29/12/2021,21.46,2021-12-29,2021,481.69399,18.74070932,74.83843,1344.84992,402.17562200720005
CSNA3,SID NACIONAL,29/12/2021,25.04,2021-12-29,2021,218.16044,13.26093947,74.03545,853.54359,332.0539243288
CVCB3,CVC BRASIL,29/12/2021,13.14,2021-12-29,2021,3.1648,2.7724730899999996,-0.36636,39.17566,36.4302964026
CYRE3,CYRELA REALT,29/12/2021,15.41,2021-12-29,2021,76.99331,3.99743,6.96204,165.60139,61.6003963
DXCO3,DEXCO,29/12/2021,14.97,2021-12-29,2021,59.61564,8.37059,13.9463,156.24811,125.30773230000001
ECOR3,ECORODOVIAS,29/12/2021,7.22,2021-12-29,2021,25.1868,6.96334,15.42383,181.08909,50.2753148
EGIE3,ENGIE BRASIL,29/12/2021,38.59,2021-12-29,2021,84.40172,8.1592774,50.73448,381.86752,314.86651486600005
ELET3,ELETROBRAS,29/12/2021,33.0,2021-12-29,2021,1110.28636,23.01227,53.51028,2702.17462,759.40491
EMBR3,EMBRAER,29/12/2021,24.42,2021-12-29,2021,147.36781,7.40465,-5.97344,529.18325,180.82155300000002
ENBR3,ENERGIAS BR,29/12/2021,20.48,2021-12-29,2021,118.95759,5.81165,32.03401,370.01192,119.022592
ENEV3,ENEVA,29/12/2021,14.09,2021-12-29,2021,137.36018,15.84446,12.81156,417.13969,223.2484414
ENGI11,ENERGISA,29/12/2021,43.81,2021-12-29,2021,124.83752,20.3908654,57.21758,596.70668,893.3238131740001
EQTL3,EQUATORIAL,29/12/2021,22.46,2021-12-29,2021,185.6698,11.28934585,52.77213,906.17397,253.55870779100002
EZTC3,EZTEC,29/12/2021,19.96,2021-12-29,2021,45.38944,2.2098910299999996,1.52726,55.33594,44.1094249588
FLRY3,FLEURY,29/12/2021,17.65,2021-12-29,2021,27.01085,3.67197096,7.34368,77.9177,64.810287444
GETT11,GETNET BR,29/12/2021,3.65,2021-12-29,2021,36.19861,18.66722202,6.17098,552.9541,68.135360373
GGBR4,GERDAU,29/12/2021,27.13,2021-12-29,2021,462.98193,16.7339719,165.99626,737.98652,453.992657647
GNDI3,INTERMEDICA,29/12/2021,58.0,2021-12-29,2021,71.17066,6.15242127,3.97579,174.66021,356.84043366
GOAU4,GERDAU MET,29/12/2021,11.26,2021-12-29,2021,472.89112,10.33840804,165.37329,747.69525,116.4104745304
GOLL4,GOL,29/12/2021,16.66,2021-12-29,2021,-213.58815,32.00516281,5.57114,169.70285,533.2060124146001
HAPV3,HAPVIDA,29/12/2021,10.09,2021-12-29,2021,487.56711,71.44255743000001,-1.55867,732.1373,720.8554044687
HYPE3,HYPERA,29/12/2021,27.96,2021-12-29,2021,106.55441,6.334208230000001,24.5934,237.55633,177.10446211080003
IGTI11,IGUATEMI S.A,29/12/2021,18.18,2021-12-29,2021,41.07688,12.331069099999999,4.9917,80.48137,224.17883623799997
IRBR3,IRBBRASIL RE,29/12/2021,3.93,2021-12-29,2021,40.73511,0.82263012,-17.95222,229.77562,3.2329363716
ITSA4,ITAUSA,29/12/2021,9.03,2021-12-29,2021,765.35,97.0141,40.9,966.37,876.0373229999999
ITUB4,ITAUUNIBANCO,29/12/2021,21.3,2021-12-29,2021,1773.43,98.04135,368.61,23234.4,2088.2807549999998
JBSS3,JBS,29/12/2021,38.05,2021-12-29,2021,498.08931,22.1811637,-0.60514,2081.10628,843.9932787849999
JHSF3,JHSF PART,29/12/2021,5.49,2021-12-29,2021,51.59673,6.79328541,8.8963,103.21737,37.295136900900005
KLBN11,KLABIN S/A,29/12/2021,25.65,2021-12-29,2021,115.68266,56.178927560000005,66.47028,475.77358,1440.9894919140002
LAME4,LOJAS AMERIC,29/12/2021,5.85,2021-12-29,2021,160.66695,18.85307731,11.26807,437.36188,110.29050226349999
LCAM3,LOCAMERICA,29/12/2021,23.25,2021-12-29,2021,59.67003,8.09173393,22.29726,201.14794,188.1328138725
LREN3,LOJAS RENNER,29/12/2021,23.9,2021-12-29,2021,100.87515,9.91227,14.07401,211.48892,236.90325299999998
LWSA3,LOCAWEB,29/12/2021,12.51,2021-12-29,2021,29.77587,5.925104480000001,0.48561,47.24602,74.1230570448
MGLU3,MAGAZ LUIZA,29/12/2021,6.76,2021-12-29,2021,106.48701,67.48926848,8.07373,377.65845,456.22745492480004
MRFG3,MARFRIG,29/12/2021,22.92,2021-12-29,2021,264.49609,6.6,97.19529,1361.04323,151.272
MRVE3,MRV,29/12/2021,11.74,2021-12-29,2021,65.74308,4.83233,4.60023,226.01329,56.7315542
MULT3,MULTIPLAN,29/12/2021,18.41,2021-12-29,2021,65.82543,6.00760875,10.5195,108.77311,110.6000770875
NTCO3,GRUPO NATURA,29/12/2021,24.97,2021-12-29,2021,223.51184,13.83206,-4.57781,546.8539,345.3865382
PCAR3,P.ACUCAR-CBD,29/12/2021,21.8,2021-12-29,2021,137.33,2.70139,-3.6,438.39,58.890302
