ticker,nome_da_empresa,data_da_analise,patrimonio_liquido,quant_on_pn,ebit12_meses,preco_de_fechamento,ativo_total,fator_cotacao,retorno12_meses
CSNA3,SID NACIONAL,27/12/2013,21692851000,1326093947,4426482000,"14,35",86595892000,1,"33,6931847319"
CTIP3,CETIP,27/12/2013,1486255000,262978823,454131000,"23,9",3449512000,1,"-3,64513821407"
CYRE3,CYRELA REALT,27/12/2013,7870905000,399743000,699112000,"14,4",16321140000,1,"-17,2134855517"
DASA3,DASA,27/12/2013,6786283000,555942170,1034184000,"14,72",26319119000,1,"12,2467083302"
DTEX3,DEXCO,27/12/2013,6035184000,837059000,1348349000,"12,82",15625433000,1,"-13,67003367"
ELET3,ELETROBRAS,27/12/2013,111017341000,2307099000,6274467000,"5,95",267830877000,1,"1,64407054655"
ELPL4,ELETROPAULO,27/12/2013,2814381000,197467000,3696657000,"9,73",30088218000,1,"-42,0833333334"
EMBR3,EMBRAER,27/12/2013,14082568000,740465000,-654119000,"18,85",53129321000,1,"32,2543380608"
ENBR3,ENERGIAS BR,27/12/2013,12366216000,581165000,3220950000,"11,3",37252581000,1,"-5,30148470881"
FIBR3,FIBRIA,27/12/2013,14222844000,553733881,6720798000,"27,86",40818649000,1,"23,4381922907"
GFSA3,GAFISA,27/12/2013,1783263000,51140000,-174064000,"3,75",5372512000,1,"-20,3821656051"
GGBR4,GERDAU,27/12/2013,48802167000,1757067050,15833150000,"18,39",75746608000,1,"2,56553262681"
GOAU4,GERDAU MET,27/12/2013,49822526000,1033840804,15770630000,"23,3",76759564000,1,"3,25593796322"
GOLL4,GOL,27/12/2013,-21040743000,3200516077,1276468000,"10,2",16993858000,1,"-20,9302325579"
HGTX3,CIA HERING,27/12/2013,1704935000,162534000,-8613000,"29,5",2457826000,1,"-27,2635918301"
HYPE3,HYPERA,27/12/2013,10817187000,633420823,2531682000,"17,7",22517989000,1,"7,59370571765"
ITSA4,ITAUSA,27/12/2013,77419000000,9701410000,3061000000,"8,9",97875000000,1,"4,67383405204"
ITUB4,ITAUUNIBANCO,27/12/2013,181519000000,9804135000,35983000000,"31,6","2,388492E+12",1,"-5,36088649292"
JBSS3,JBS,27/12/2013,48067967000,2218116370,16558463000,"8,81",200211568000,1,"48,3143006609"
KLBN4,KLABIN S/A,27/12/2013,12762792000,5617892756,6783862000,"12,15",49381534000,1,"-2,09399631724"
KROT3,COGNA ON,27/12/2013,13289154000,1876606210,405666000,"38,84",25825690000,1,"71,3563603364"
LAME4,LOJAS AMERIC,27/12/2013,16066695000,1885307731,1126807000,"15,75",43736188000,1,"-13,5504725777"
LIGT3,LIGHT S/A,27/12/2013,2952139000,372555324,-1753530000,"21,91",23825786000,1,"3,0002693782"
LLXL3,PRUMO,27/12/2013,2430515000,376017000,-353070000,"1,12",7449509000,1,"-53,3333333334"
LREN3,LOJAS RENNER,27/12/2013,9665782000,963227000,1236898000,"60,8",19691820000,1,"-21,5953455364"
MMXM3,MMX MINER,27/12/2013,-844314000,6488000,-501000,"0,7",128006000,1,"-84,2696629214"
MRFG3,MARFRIG,27/12/2013,24665431000,660000000,7140513000,"3,9",131530716000,1,"-54,0094339624"
MRVE3,MRV,27/12/2013,6705646000,483233000,318692000,"8,45",22739681000,1,"-26,710978233"
NATU3,NATURA,27/12/2013,6077038000,920205000,1587235000,"41,38",24475391000,1,"-26,5323899056"
OIBR3,OI,27/12/2013,-21846002000,6603037000,-18261908000,"3,67",29616098000,1,"-59,9344978165"
